,Sport,Discipline,Event
1,Aquatics,Diving,3m springboard
2,Aquatics,Diving,3m springboard
3,Aquatics,Diving,3m springboard
4,Aquatics,Diving,3m springboard
5,Aquatics,Diving,10m platform
6,Aquatics,Diving,10m platform
7,Aquatics,Diving,10m platform
8,Aquatics,Diving,3m springboard
9,Aquatics,Diving,10m platform
10,Aquatics,Diving,10m platform
11,Aquatics,Diving,10m platform
12,Aquatics,Diving,3m springboard
13,Aquatics,Swimming,4x100m freestyle relay
14,Aquatics,Swimming,400m freestyle
15,Aquatics,Swimming,4x100m freestyle relay
16,Aquatics,Swimming,1500m freestyle
17,Aquatics,Swimming,400m individual medley
18,Aquatics,Swimming,4x100m medley relay
19,Aquatics,Swimming,800m freestyle
20,Aquatics,Swimming,800m freestyle
21,Aquatics,Swimming,4x100m freestyle relay
22,Aquatics,Swimming,200m backstroke
23,Aquatics,Swimming,400m freestyle
24,Aquatics,Swimming,400m individual medley
25,Aquatics,Swimming,4x100m medley relay
26,Aquatics,Swimming,200m freestyle
27,Aquatics,Swimming,100m butterfly
28,Aquatics,Swimming,100m backstroke
29,Aquatics,Swimming,100m backstroke
30,Aquatics,Swimming,100m backstroke
31,Aquatics,Swimming,4x100m medley relay
32,Aquatics,Swimming,200m freestyle
33,Aquatics,Swimming,4x200m freestyle relay
34,Aquatics,Swimming,4x200m freestyle relay
35,Aquatics,Swimming,4x100m freestyle relay
36,Aquatics,Swimming,4x100m medley relay
37,Aquatics,Swimming,4x200m freestyle relay
38,Aquatics,Swimming,100m butterfly
39,Aquatics,Swimming,400m individual medley
40,Aquatics,Swimming,200m breaststroke
41,Aquatics,Swimming,200m backstroke
42,Aquatics,Swimming,800m freestyle
43,Aquatics,Swimming,4x200m freestyle relay
44,Aquatics,Swimming,4x200m freestyle relay
45,Aquatics,Swimming,4x100m medley relay
46,Aquatics,Swimming,4x100m medley relay
47,Aquatics,Swimming,100m breaststroke
48,Aquatics,Swimming,4x100m medley relay
49,Aquatics,Swimming,4x200m freestyle relay
50,Aquatics,Swimming,4x200m freestyle relay
51,Aquatics,Swimming,200m breaststroke
52,Aquatics,Swimming,4x100m freestyle relay
53,Aquatics,Swimming,4x100m medley relay
54,Aquatics,Swimming,200m butterfly
55,Aquatics,Swimming,4x100m freestyle relay
56,Aquatics,Swimming,4x100m freestyle relay
57,Aquatics,Swimming,100m butterfly
58,Aquatics,Swimming,200m butterfly
59,Aquatics,Swimming,400m individual medley
60,Aquatics,Swimming,200m backstroke
61,Aquatics,Swimming,200m freestyle
62,Aquatics,Swimming,100m butterfly
