,Year,Country,Gold,Silver,Bronze,Medal
0,1976.0,Bulgaria,8,13.0,18.0,39.0
1,1976.0,Cuba,6,4.0,14.0,24.0
2,1976.0,Czechoslovakia,2,4.0,9.0,15.0
3,1976.0,Denmark,3,0.0,5.0,8.0
4,1976.0,East Germany,99,51.0,42.0,192.0
5,1976.0,Finland,4,2.0,0.0,6.0
6,1976.0,France,5,7.0,8.0,20.0
7,1976.0,Hungary,14,6.0,35.0,55.0
8,1976.0,Italy,2,25.0,4.0,31.0
9,1976.0,Jamaica,1,1.0,0.0,2.0
10,1976.0,Japan,25,6.0,10.0,41.0
11,1976.0,"Korea, North",1,1.0,0.0,2.0
12,1976.0,"Korea, South",1,1.0,15.0,17.0
13,1976.0,Mexico,1,0.0,1.0,2.0
14,1976.0,New Zealand,17,1.0,9.0,27.0
15,1976.0,Norway,2,4.0,0.0,6.0
16,1976.0,Poland,18,29.0,26.0,73.0
17,1976.0,Romania,4,28.0,23.0,55.0
18,1976.0,Soviet Union,113,93.0,79.0,285.0
19,1976.0,Sweden,9,1.0,0.0,10.0
20,1976.0,Switzerland,1,3.0,6.0,10.0
21,1976.0,Trinidad and Tobago,1,0.0,0.0,1.0
22,1976.0,United Kingdom,6,15.0,11.0,32.0
23,1976.0,United States,63,56.0,36.0,155.0
24,1976.0,West Germany,21,24.0,30.0,75.0
25,1976.0,Yugoslavia,2,14.0,3.0,19.0
26,1980.0,Australia,5,2.0,5.0,12.0
27,1980.0,Austria,1,3.0,1.0,5.0
28,1980.0,Belgium,1,0.0,0.0,1.0
29,1980.0,Brazil,4,0.0,5.0,9.0
30,1980.0,Bulgaria,8,46.0,40.0,94.0
31,1980.0,Cuba,8,7.0,5.0,20.0
32,1980.0,Czechoslovakia,18,18.0,16.0,52.0
33,1980.0,Denmark,4,2.0,2.0,8.0
34,1980.0,East Germany,112,87.0,61.0,260.0
35,1980.0,Ethiopia,2,0.0,2.0,4.0
36,1980.0,Finland,3,1.0,5.0,9.0
37,1980.0,France,18,5.0,6.0,29.0
38,1980.0,Greece,1,0.0,4.0,5.0
39,1980.0,Hungary,8,13.0,40.0,61.0
40,1980.0,India,16,0.0,0.0,16.0
41,1980.0,Italy,8,21.0,8.0,37.0
42,1980.0,Poland,3,25.0,22.0,50.0
43,1980.0,Romania,7,15.0,50.0,72.0
44,1980.0,Soviet Union,192,127.0,123.0,442.0
45,1980.0,Spain,2,19.0,3.0,24.0
46,1980.0,Sweden,3,6.0,9.0,18.0
47,1980.0,Switzerland,2,0.0,0.0,2.0
48,1980.0,United Kingdom,5,18.0,22.0,45.0
49,1980.0,Yugoslavia,13,27.0,17.0,57.0
50,1980.0,Zimbabwe,16,0.0,0.0,16.0
51,1984.0,Australia,7,14.0,29.0,50.0
52,1984.0,Austria,1,1.0,1.0,3.0
53,1984.0,Belgium,1,2.0,2.0,5.0
54,1984.0,Brazil,1,34.0,2.0,37.0
55,1984.0,Canada,19,35.0,32.0,86.0
56,1984.0,China,26,13.0,37.0,76.0
57,1984.0,Finland,4,2.0,6.0,12.0
58,1984.0,France,21,16.0,31.0,68.0
59,1984.0,Italy,29,6.0,28.0,63.0
60,1984.0,Japan,10,8.0,31.0,49.0
